,prob_s,comp_factor,Intervention strategy,name,q_y,q_a,q_o,q_ya,q_ao,q_yo,color,R0,si_eff
0,1,0.0,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.300000000000006,0.0
1,1,0.0,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,2.210486609491082,0.0
2,1,0.0,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,2.03969292908194,0.0
3,1,0.0,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.5865817865823484,0.0
4,1,0.0,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.168055160372239,0.0
5,1,0.0,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,2.206154418985939,0.0
6,1,0.01,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.277000000000001,0.010000000000000009
7,1,0.01,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,2.1883817433961688,0.010000000000000009
8,1,0.01,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,2.0192959997911175,0.010000000000000009
9,1,0.01,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.570715968716524,0.010000000000000009
10,1,0.01,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.1563746087685167,0.010000000000000009
11,1,0.01,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,2.1840928747960797,0.010000000000000009
12,1,0.02,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.2540000000000013,0.020000000000000018
13,1,0.02,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,2.16627687730126,0.020000000000000018
14,1,0.02,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.9988990705002994,0.020000000000000018
15,1,0.02,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.5548501508507018,0.020000000000000018
16,1,0.02,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.1446940571647948,0.020000000000000018
17,1,0.02,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,2.162031330606224,0.020000000000000018
